6938,9716
7524,9712
8475,9669
9401,9862
9558,9755
9182,9915
9103,9957
10513,10141
9573,10154
10254,10174
11187,10076
18395,10318
7502,10581
7524,10150
8766,9916
9867,10257
10063,10386
9635,10411
9794,10593
10628,10406
10013,10549
10346,10449
11760,10475
18851,10442
7280,10450
7902,10587
9921,10806
9869,10554
10009,10451
9893,10612
9735,10672
11157,10839
10217,10674
10730,11000
12354,10983
20016,10952
7518,10939
7961,10582
9815,10850
10168,10796
10620,10976
10301,10948
9784,10824
11264,10813
10710,11198
10439,10882
12751,11269
20002,11124
7684,11105
8991,11341
10349,11376
10570,11422
11405,11504
10554,11365
10202,11316
12134,11360
10623,11534
11250,11577
12875,11318
19944,11435
8194,11513
8835,11468
10840,11623
10131,11195
11505,11413
10654,11643
10734,11735
12461,11828
10942,11845
11635,11881
13244,11936
21118,12110
8800,12154
9499,12199
10863,12164
11825,12459
12239,12304
11451,12447
11633,12559
12971,12460
11214,12180
12384,12540
13854,12736
22418,12746
9237,12897
10171,12920
12081,13075
12386,13139
13167,13373
12280,13373
12461,13270
13734,13404
12357,13381
12948,13400
14643,13416
24286,13573
9447,13301
11170,13532
12841,13818
13124,13801
13735,14027
12953,13864
12500,13722
14610,14072
13375,14366
13369,14231
15675,14294
24875,14084
10060,14135
11450,14166
13067,13801
13362,14217
13787,13950
12935,13804
12600,13994
14818,14171
12104,13286
13218,13973
15352,13970
24534,14126
10344,14220
11730,14357
13977,14436
13195,14410
14150,14220
13210,14366
12873,14200
15113,14338
12445,13966
14006,14625
15911,14456
25350,14714
10804,14565
11662,14142
13452,14465
13691,14434
14730,14651
13496,14894
13854,15141
15522,15089
13567,15175
14601,15067
16555,15338
26760,15456
11790,15513
13344,15687
14760,15984
15058,15567
15379,15736
14237,15555
14667,15645
15588,15660
14224,15764
15570,16055
17230,16044
28406,16183
12046,16159
13878,16662
15727,16255
15708,16721
15989,16523
15559,16795
15218,16477
16697,16745
14960,16401
16509,17149
18402,17127
30276,17206
12893,17350
14474,17386
16386,17374
16848,17568
17103,17464
16505,17664
16275,17735
17832,17628
16767,18254
17253,18145
19391,17863
31462,18527
13927,18484
15077,18152
18045,18663
17096,18168
18474,18516
17289,18417
16883,18560
18850,18457
16765,18450
17614,18433
20550,18704
30635,18583
14173,18549
15877,18282
17770,18295
17103,18467
19085,18618
17007,18709
17369,18649
19040,18571
15883,17562
16795,17280
18756,17208
26725,16834
13387,17153
14684,17423
15564,16536
16338,16863
17265,17056
15433,16812
16007,16988
17655,17265
15629,17185
17053,17297
18332,17114
27128,17101
13216,17364
14816,17384
17390,17827
17042,17742
17726,17636
16138,17525
16843,17572
17924,17703
16231,17649
17412,18025
20003,18526
28545,18145
13704,18333
15931,18541
18252,18715
18647,18947
18770,18881
17783,19135
17936,19015
19262,18894
17999,19468
18255,19131
20958,19384
31109,19508
14357,19616
17931,20164
20162,20022
18601,19526
19952,19671
18717,19862
18266,19767
20750,19885
18392,20141
18845,19924
22017,19996
31503,20193
15156,20426
17383,20217
20576,20223
19172,20578
20780,20314
18943,20378
19174,20543
21557,20276
18110,20268
19852,20767
22439,20265
31580,20580
15177,20426
17504,20420
20070,20641
20321,21084
21569,20698
18949,20764
19826,20900
21992,21001
18644,20772
20219,21019
23493,21397
32645,21181
15774,20929
17994,21142
20775,21368
20411,21333
22170,21612
19687,21395
20577,21494
22315,21456
19146,21332
20617,21121
23058,21305
33307,21212
15627,21126
18834,21535
21350,21242
20311,21287
21494,21451
19977,21428
20487,21378
22248,21533
19649,21540
20306,21410
23529,21370
34520,21539
15700,21675
17856,21111
21028,21504
20970,21589
21750,21583
20427,21726
20645,21798
22720,21709
19939,21809
20540,22000
24696,22138
